local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
0,701,71,1,0.0007415416766889393,83.66666666666667,502,600
0,702,71,2,0.0007575319614261389,83.66666666666667,502,600
0,703,71,3,0.0006595655577257276,85.16666666666667,511,600
0,704,71,4,0.0007574971532449126,84.83333333333334,509,600
0,705,71,5,0.0006974125863052905,85.0,510,600
0,706,71,6,0.0007326737977564335,85.16666666666667,511,600
0,707,71,7,0.0007110410369932652,85.0,510,600
0,708,71,8,0.0007433127611875534,84.83333333333334,509,600
0,709,71,9,0.0007030309643596411,85.66666666666667,514,600
0,710,71,10,0.0007005353691056371,85.33333333333334,512,600
1,701,71,1,0.0007224094006232917,85.66666666666667,514,600
1,702,71,2,0.0007837140583433211,85.83333333333333,515,600
1,703,71,3,0.0006767745362594724,86.33333333333333,518,600
1,704,71,4,0.0006759721436537802,86.5,519,600
1,705,71,5,0.000680722703691572,86.5,519,600
1,706,71,6,0.0007315707625821233,86.5,519,600
1,707,71,7,0.0006852732039988041,86.83333333333333,521,600
1,708,71,8,0.0006444404134526849,86.66666666666667,520,600
1,709,71,9,0.0006640697829425335,86.66666666666667,520,600
1,710,71,10,0.000671590561978519,86.83333333333333,521,600
2,701,71,1,0.0007046067039482296,87.0,522,600
2,702,71,2,0.0006063717883080244,88.83333333333333,533,600
2,703,71,3,0.0005676221917383373,90.0,540,600
2,704,71,4,0.000579451909288764,89.83333333333333,539,600
2,705,71,5,0.0006153753492981195,90.0,540,600
2,706,71,6,0.0006285338313318789,90.0,540,600
2,707,71,7,0.0005811732262372971,89.83333333333333,539,600
2,708,71,8,0.0006220010109245777,89.83333333333333,539,600
2,709,71,9,0.0005407416028901935,90.33333333333333,542,600
2,710,71,10,0.0006080864113755524,90.0,540,600
3,701,71,1,0.0007238571415655315,87.66666666666667,526,600
3,702,71,2,0.000651965441647917,88.66666666666667,532,600
3,703,71,3,0.0006260966183617711,88.66666666666667,532,600
3,704,71,4,0.0005697814049199224,89.16666666666667,535,600
3,705,71,5,0.0006505549536086619,89.0,534,600
3,706,71,6,0.0006929325172677636,89.66666666666666,538,600
3,707,71,7,0.0006379582919180393,89.83333333333333,539,600
3,708,71,8,0.0005845975247211754,90.0,540,600
3,709,71,9,0.0006036683334968984,89.83333333333333,539,600
3,710,71,10,0.0007046941318549216,89.66666666666666,538,600
4,701,71,1,0.0007367428042925894,86.16666666666667,517,600
4,702,71,2,0.0007376132416538894,86.33333333333333,518,600
4,703,71,3,0.0006608052644878626,86.83333333333333,521,600
4,704,71,4,0.0006781172705814242,86.5,519,600
4,705,71,5,0.000684595899656415,86.66666666666667,520,600
4,706,71,6,0.0006565536605194211,86.83333333333333,521,600
4,707,71,7,0.0007091859588399529,86.66666666666667,520,600
4,708,71,8,0.000682185753248632,86.66666666666667,520,600
4,709,71,9,0.0006229861755855381,87.16666666666667,523,600
4,710,71,10,0.0006451262743212283,87.5,525,600
5,701,71,1,0.0007282149163074791,84.33333333333334,506,600
5,702,71,2,0.0006473389221355319,85.33333333333334,512,600
5,703,71,3,0.0006808251491747797,85.33333333333334,512,600
5,704,71,4,0.0007204326102510095,85.66666666666667,514,600
5,705,71,5,0.0006776636000722647,85.66666666666667,514,600
5,706,71,6,0.000649093184620142,85.66666666666667,514,600
5,707,71,7,0.0006531929830089211,85.33333333333334,512,600
5,708,71,8,0.0006355575169436634,85.33333333333334,512,600
5,709,71,9,0.0006655012839473784,85.5,513,600
5,710,71,10,0.0006746601429767907,85.33333333333334,512,600
6,701,71,1,0.0007680392009206116,84.83333333333334,509,600
6,702,71,2,0.0007911818102002144,84.66666666666667,508,600
6,703,71,3,0.0007887309184297919,85.33333333333334,512,600
6,704,71,4,0.0007699900306761265,85.5,513,600
6,705,71,5,0.0007421312620863318,85.5,513,600
6,706,71,6,0.0007783524342812598,85.5,513,600
6,707,71,7,0.0007717264234088361,85.66666666666667,514,600
6,708,71,8,0.0006808016914874315,86.16666666666667,517,600
6,709,71,9,0.0007002128986641765,86.16666666666667,517,600
6,710,71,10,0.0007096886401996017,86.0,516,600
7,701,71,1,0.0007444680668413639,86.0,516,600
7,702,71,2,0.0006719848606735468,87.0,522,600
7,703,71,3,0.0006791863706894219,88.83333333333333,533,600
7,704,71,4,0.0006375236553139985,88.83333333333333,533,600
7,705,71,5,0.0006891053635627031,88.66666666666667,532,600
7,706,71,6,0.0007000049226917326,88.5,531,600
7,707,71,7,0.0006644088425673544,88.83333333333333,533,600
7,708,71,8,0.000659990415442735,88.66666666666667,532,600
7,709,71,9,0.0006884313188493252,88.33333333333333,530,600
7,710,71,10,0.0006483435281552374,88.5,531,600
8,701,71,1,0.000754843233153224,84.33333333333334,506,600
8,702,71,2,0.0007733493694104254,85.0,510,600
8,703,71,3,0.0006704084808006883,85.83333333333333,515,600
8,704,71,4,0.0007267616456374526,85.5,513,600
8,705,71,5,0.000649179273750633,86.16666666666667,517,600
8,706,71,6,0.0007529446156695485,85.5,513,600
8,707,71,7,0.0006934245466254652,85.66666666666667,514,600
8,708,71,8,0.0007183466223068535,85.5,513,600
8,709,71,9,0.0006817408720962703,85.66666666666667,514,600
8,710,71,10,0.0007028988911770284,85.5,513,600
9,701,71,1,0.0007635444635525346,83.5,501,600
9,702,71,2,0.0007440067129209638,84.16666666666667,505,600
9,703,71,3,0.0007281374419108033,84.66666666666667,508,600
9,704,71,4,0.0007372432737611234,84.66666666666667,508,600
9,705,71,5,0.0006978299934417009,84.66666666666667,508,600
9,706,71,6,0.0007455507293343544,84.83333333333334,509,600
9,707,71,7,0.0007412153645418584,84.66666666666667,508,600
9,708,71,8,0.0006939255981706083,85.0,510,600
9,709,71,9,0.0007396932342089713,85.0,510,600
9,710,71,10,0.0006948369555175304,85.5,513,600
10,701,71,1,0.0007712058140896261,84.16666666666667,505,600
10,702,71,2,0.0007482267101295292,85.66666666666667,514,600
10,703,71,3,0.0006956526194699109,86.83333333333333,521,600
10,704,71,4,0.0006685893749818206,86.83333333333333,521,600
10,705,71,5,0.0006607753457501531,86.83333333333333,521,600
10,706,71,6,0.0006723763654008508,86.83333333333333,521,600
10,707,71,7,0.0007001733756624162,87.5,525,600
10,708,71,8,0.000687927647959441,87.16666666666667,523,600
10,709,71,9,0.0007128960569389164,87.33333333333333,524,600
10,710,71,10,0.0006353518692776561,87.5,525,600
11,701,71,1,0.0007593668415211141,87.33333333333333,524,600
11,702,71,2,0.0006752624176442623,87.5,525,600
11,703,71,3,0.0006842433358542621,87.16666666666667,523,600
11,704,71,4,0.0006510221865028143,87.16666666666667,523,600
11,705,71,5,0.0005982050788588822,87.5,525,600
11,706,71,6,0.0006503852200694382,86.83333333333333,521,600
11,707,71,7,0.0006462420569732785,86.83333333333333,521,600
11,708,71,8,0.0006065724301151931,87.16666666666667,523,600
11,709,71,9,0.00070853007491678,86.66666666666667,520,600
11,710,71,10,0.000610843941103667,87.16666666666667,523,600
12,701,71,1,0.0007221755222417414,85.0,510,600
12,702,71,2,0.000692566973157227,85.16666666666667,511,600
12,703,71,3,0.0007085409015417099,86.0,516,600
12,704,71,4,0.0006182092474773526,86.5,519,600
12,705,71,5,0.00062611885368824,86.33333333333333,518,600
12,706,71,6,0.0006493475520983338,86.33333333333333,518,600
12,707,71,7,0.0006346864392980933,86.66666666666667,520,600
12,708,71,8,0.000649859372060746,86.66666666666667,520,600
12,709,71,9,0.0005918050883337855,86.66666666666667,520,600
12,710,71,10,0.0006340530817396939,86.66666666666667,520,600
13,701,71,1,0.0006598153850063682,87.33333333333333,524,600
13,702,71,2,0.0006568166427314281,87.16666666666667,523,600
13,703,71,3,0.0006074700504541397,88.16666666666667,529,600
13,704,71,4,0.0006425506435334682,88.33333333333333,530,600
13,705,71,5,0.0006077286088839173,88.66666666666667,532,600
13,706,71,6,0.0005781673244200647,89.0,534,600
13,707,71,7,0.0005699891480617225,89.16666666666667,535,600
13,708,71,8,0.0005505408043973148,89.33333333333333,536,600
13,709,71,9,0.0005608412902802229,89.5,537,600
13,710,71,10,0.0005974017549306154,89.66666666666666,538,600
14,701,71,1,0.0007422350463457406,85.16666666666667,511,600
14,702,71,2,0.0007044845260679722,85.5,513,600
14,703,71,3,0.0007735618855804205,85.33333333333334,512,600
14,704,71,4,0.0007661411073058844,85.33333333333334,512,600
14,705,71,5,0.0007093821186572313,85.5,513,600
14,706,71,6,0.0007009666878730059,85.5,513,600
14,707,71,7,0.0006854191888123751,86.16666666666667,517,600
14,708,71,8,0.0006694573676213622,86.33333333333333,518,600
14,709,71,9,0.000714018358848989,86.16666666666667,517,600
14,710,71,10,0.0007003170903772116,85.66666666666667,514,600
15,701,71,1,0.0006973780109547079,87.33333333333333,524,600
15,702,71,2,0.0006551250698976219,89.0,534,600
15,703,71,3,0.0005584760801866651,90.5,543,600
15,704,71,4,0.0005793969030492008,90.5,543,600
15,705,71,5,0.0005766001413576305,90.33333333333333,542,600
15,706,71,6,0.0005439945962280035,90.33333333333333,542,600
15,707,71,7,0.0006042387103661895,90.16666666666666,541,600
15,708,71,8,0.0006279908702708781,90.16666666666666,541,600
15,709,71,9,0.0005830211448483169,90.33333333333333,542,600
15,710,71,10,0.0005476467777043581,90.16666666666666,541,600
16,701,71,1,0.0007202725391834974,84.66666666666667,508,600
16,702,71,2,0.000683007063344121,84.66666666666667,508,600
16,703,71,3,0.0007068717968650162,85.33333333333334,512,600
16,704,71,4,0.0007207723101601005,85.33333333333334,512,600
16,705,71,5,0.0007331000524573028,85.5,513,600
16,706,71,6,0.000649536494165659,86.0,516,600
16,707,71,7,0.0006642398657277226,85.83333333333333,515,600
16,708,71,8,0.0006877515115775168,85.66666666666667,514,600
16,709,71,9,0.0007058007176965475,85.83333333333333,515,600
16,710,71,10,0.0006793844513595104,86.0,516,600
17,701,71,1,0.0007409829995594919,84.5,507,600
17,702,71,2,0.0007449808181263506,84.5,507,600
17,703,71,3,0.0006810919148847461,85.83333333333333,515,600
17,704,71,4,0.0007767828647047281,85.0,510,600
17,705,71,5,0.0007390899118036032,85.5,513,600
17,706,71,6,0.0007303580059669912,85.16666666666667,511,600
17,707,71,7,0.0007093212916515768,85.5,513,600
17,708,71,8,0.0007276642718352377,85.5,513,600
17,709,71,9,0.000751011015381664,85.66666666666667,514,600
17,710,71,10,0.0007161524845287204,85.66666666666667,514,600
18,701,71,1,0.0008370260475203395,83.66666666666667,502,600
18,702,71,2,0.0008019529050216079,83.5,501,600
18,703,71,3,0.0007789962110109627,84.0,504,600
18,704,71,4,0.0007675264496356249,83.66666666666667,502,600
18,705,71,5,0.0008228285587392747,83.66666666666667,502,600
18,706,71,6,0.000740756921004504,84.66666666666667,508,600
18,707,71,7,0.0007700725109316409,84.33333333333334,506,600
18,708,71,8,0.0007176852086558938,84.5,507,600
18,709,71,9,0.0007277469267137349,84.83333333333334,509,600
18,710,71,10,0.0007154479390010238,85.16666666666667,511,600
19,701,71,1,0.0008035394712351263,83.5,501,600
