71,0.8142,71,0.7232,71,0.9067,71,0.8298,71,0.8323,71,0.7151,71,0.8002,71,0.6922,71,0.7898,71,0.8591,71,0.937,71,0.7338,71,0.8158,71,0.7973,71,0.8212,71,0.7741,71,0.6769,71,0.8427,71,0.8153,71,0.7758,85.72
72,0.7495,72,0.6922,72,0.7709,72,0.7593,72,0.7559,72,0.725,72,0.7942,72,0.5953,72,0.7024,72,0.7663,72,0.7852,72,0.6951,72,0.7453,72,0.7004,72,0.7857,72,0.6588,72,0.6686,72,0.7064,72,0.7852,72,0.6777,85.8
73,0.7489,73,0.7316,73,0.7529,73,0.7453,73,0.7299,73,0.754,73,0.8927,73,0.6218,73,0.6967,73,0.7768,73,0.7611,73,0.6645,73,0.7536,73,0.6935,73,0.7726,73,0.7005,73,0.7066,73,0.7293,73,0.798,73,0.7142,85.83
74,0.7528,74,0.7256,74,0.7395,74,0.7237,74,0.7359,74,0.7647,74,0.862,74,0.6026,74,0.7414,74,0.78,74,0.7564,74,0.717,74,0.7331,74,0.7201,74,0.7842,74,0.6762,74,0.7439,74,0.7187,74,0.8216,74,0.712,85.87
75,0.7852,75,0.7361,75,0.781,75,0.6835,75,0.7185,75,0.7344,75,0.8187,75,0.62,75,0.7772,75,0.7663,75,0.736,75,0.6941,75,0.7707,75,0.7332,75,0.7981,75,0.7292,75,0.7481,75,0.6809,75,0.8185,75,0.7298,85.96
76,0.7552,76,0.7284,76,0.7425,76,0.738,76,0.7386,76,0.7545,76,0.8783,76,0.6331,76,0.7094,76,0.751,76,0.7739,76,0.7117,76,0.7226,76,0.7398,76,0.7806,76,0.6605,76,0.7857,76,0.718,76,0.8617,76,0.7389,85.97
77,0.7819,77,0.7332,77,0.7447,77,0.7355,77,0.7323,77,0.7663,77,0.8557,77,0.6553,77,0.7477,77,0.7712,77,0.7877,77,0.7653,77,0.7389,77,0.718,77,0.8177,77,0.7094,77,0.803,77,0.7275,77,0.8541,77,0.7425,86.04
78,0.8031,78,0.7787,78,0.7906,78,0.7212,78,0.7693,78,0.774,78,0.8396,78,0.6714,78,0.7266,78,0.79,78,0.7478,78,0.7419,78,0.7415,78,0.7578,78,0.8153,78,0.6908,78,0.7408,78,0.7355,78,0.8775,78,0.7553,86.05
79,0.782,79,0.7638,79,0.7477,79,0.7504,79,0.7717,79,0.7766,79,0.8284,79,0.6598,79,0.7473,79,0.8113,79,0.7659,79,0.7468,79,0.7657,79,0.7347,79,0.7809,79,0.6929,79,0.7464,79,0.7282,79,0.897,79,0.7688,86.12
80,0.7779,80,0.7722,80,0.7993,80,0.7557,80,0.7092,80,0.7555,80,0.8466,80,0.7527,80,0.7193,80,0.8038,80,0.7714,80,0.7363,80,0.7406,80,0.7758,80,0.8029,80,0.7122,80,0.7643,80,0.7368,80,0.8561,80,0.7679,86.11
