model,epoch,average_loss,accuracy,correct_data,total_data
0,71,7.208279079861111,3.011111111111111,271,9000
0,71,4.6196814236111114,9.577777777777778,862,9000
1,71,6.979633680555556,3.5888888888888886,323,9000
1,71,3.989107204861111,9.355555555555556,842,9000
2,71,7.088484375,4.944444444444445,445,9000
2,71,3.312193576388889,28.988888888888887,2609,9000
3,71,6.941687065972222,4.077777777777778,367,9000
3,71,3.8414444444444444,24.57777777777778,2212,9000
4,71,7.143193576388889,3.3111111111111113,298,9000
4,71,5.001733506944444,4.555555555555555,410,9000
5,71,7.294611111111111,3.3888888888888893,305,9000
5,71,5.264405381944444,11.044444444444444,994,9000
6,71,7.005167534722222,3.9555555555555553,356,9000
6,71,4.370555121527778,12.933333333333334,1164,9000
7,71,7.089170138888889,3.6666666666666665,330,9000
7,71,3.7064991319444442,15.944444444444445,1435,9000
8,71,6.758209201388889,4.877777777777778,439,9000
8,71,2.64495703125,30.555555555555557,2750,9000
9,71,6.674402777777778,4.822222222222222,434,9000
9,71,2.8447862413194445,44.9,4041,9000
10,71,6.870593315972222,5.3,477,9000
10,71,4.056411458333334,29.07777777777778,2617,9000
11,71,6.935861545138889,4.2,378,9000
11,71,3.2070416666666666,18.866666666666667,1698,9000
12,71,6.952093315972222,4.666666666666667,420,9000
12,71,3.7349544270833333,17.87777777777778,1609,9000
13,71,7.344883680555555,4.311111111111112,388,9000
13,71,4.415914496527778,23.133333333333333,2082,9000
14,71,7.205410590277777,3.733333333333334,336,9000
14,71,5.045473524305556,14.18888888888889,1277,9000
15,71,7.068178385416667,4.5,405,9000
15,71,3.8276775173611113,17.68888888888889,1592,9000
16,71,7.065464409722222,4.4111111111111105,397,9000
16,71,4.376195746527777,15.733333333333333,1416,9000
17,71,7.361698784722222,4.488888888888889,404,9000
17,71,6.0510481770833335,24.41111111111111,2197,9000
18,71,6.856611545138889,4.2444444444444445,382,9000
18,71,3.0701569010416665,24.96666666666667,2247,9000
19,71,6.974056857638889,4.2,378,9000
19,71,3.7491328125,17.477777777777778,1573,9000
global,71,7.817598958333333,3.3222222222222224,299,9000
0,72,7.2662708333333335,2.933333333333333,264,9000
0,72,4.7747964409722226,3.2333333333333334,291,9000
1,72,7.318740451388889,3.355555555555555,302,9000
1,72,5.380052083333333,3.155555555555556,284,9000
2,72,7.041277777777778,4.7555555555555555,428,9000
2,72,2.8356514756944446,25.711111111111112,2314,9000
3,72,6.957617621527778,4.044444444444444,364,9000
3,72,3.785532552083333,9.533333333333333,858,9000
4,72,7.205263888888889,3.111111111111111,280,9000
4,72,5.144988715277778,1.9444444444444444,175,9000
5,72,7.375651041666667,3.2444444444444445,292,9000
5,72,5.747432725694445,4.033333333333333,363,9000
6,72,6.979737413194444,3.922222222222222,353,9000
6,72,4.326848090277778,8.811111111111112,793,9000
7,72,7.231662326388889,3.5777777777777775,322,9000
7,72,4.654108940972222,7.0777777777777775,637,9000
8,72,7.175428385416667,4.811111111111111,433,9000
8,72,4.4252899305555555,19.88888888888889,1790,9000
9,72,6.735959201388889,4.7555555555555555,428,9000
9,72,2.9455523003472224,34.06666666666667,3066,9000
10,72,6.930952690972222,5.044444444444444,454,9000
10,72,3.7420724826388887,13.211111111111112,1189,9000
11,72,7.084125,4.0888888888888895,368,9000
11,72,4.2987178819444445,15.466666666666667,1392,9000
12,72,7.042703559027777,4.544444444444444,409,9000
12,72,3.968047309027778,10.644444444444444,958,9000
13,72,7.473529513888889,4.188888888888889,377,9000
13,72,5.8197161458333335,12.88888888888889,1160,9000
14,72,6.906124131944445,3.6999999999999997,333,9000
14,72,3.8209114583333332,9.644444444444444,868,9000
15,72,7.415621527777778,4.488888888888889,404,9000
15,72,5.451293836805555,12.733333333333333,1146,9000
16,72,7.2471189236111115,4.522222222222222,407,9000
16,72,5.0258346354166665,13.78888888888889,1241,9000
17,72,7.271041666666667,4.466666666666667,402,9000
17,72,4.814908854166666,18.0,1620,9000
18,72,7.059892361111111,4.066666666666666,366,9000
18,72,4.322709201388889,10.266666666666667,924,9000
19,72,7.23997265625,4.144444444444444,373,9000
19,72,4.763173177083333,10.088888888888889,908,9000
global,72,7.915207465277778,3.355555555555555,302,9000
0,73,7.285199652777778,3.0444444444444443,274,9000
0,73,4.704338541666667,3.355555555555555,302,9000
1,73,7.329987847222222,3.3777777777777773,304,9000
1,73,5.275717881944445,2.9000000000000004,261,9000
2,73,7.070239583333334,4.833333333333333,435,9000
2,73,2.912175564236111,39.06666666666666,3516,9000
3,73,7.060130208333334,3.8777777777777778,349,9000
3,73,4.457275173611111,13.28888888888889,1196,9000
4,73,7.339744791666667,3.2444444444444445,292,9000
4,73,5.479467447916667,1.6777777777777776,151,9000
5,73,7.14146484375,3.3000000000000003,297,9000
5,73,4.718477430555556,5.21111111111111,469,9000
6,73,6.73007421875,3.733333333333334,336,9000
6,73,3.582562065972222,6.5,585,9000
7,73,7.2650308159722226,3.4777777777777774,313,9000
7,73,4.661942708333333,7.766666666666666,699,9000
8,73,7.122746527777778,4.633333333333333,417,9000
8,73,4.10091796875,14.922222222222222,1343,9000
9,73,6.762153211805556,4.688888888888889,422,9000
9,73,3.1069952256944444,36.81111111111111,3313,9000
10,73,6.9100707465277775,5.033333333333333,453,9000
10,73,3.34975,18.266666666666666,1644,9000
11,73,7.350859375,3.944444444444444,355,9000
11,73,5.0844861111111115,7.855555555555556,707,9000
12,73,6.963074652777777,4.633333333333333,417,9000
12,73,3.542976345486111,11.222222222222221,1010,9000
13,73,7.6069921875,4.188888888888889,377,9000
13,73,6.153666666666667,11.3,1017,9000
14,73,7.160975694444445,3.722222222222222,335,9000
14,73,4.554153645833333,7.277777777777778,655,9000
15,73,7.2493671875,4.477777777777778,403,9000
15,73,4.458229600694445,13.833333333333334,1245,9000
16,73,7.033060329861111,4.333333333333334,390,9000
16,73,3.9217313368055557,12.022222222222222,1082,9000
17,73,7.1820824652777775,4.5,405,9000
17,73,4.302856770833333,18.11111111111111,1630,9000
18,73,7.226459635416667,4.222222222222222,380,9000
18,73,4.7631145833333335,11.5,1035,9000
19,73,7.1795234375,4.166666666666666,375,9000
19,73,4.660189236111111,9.2,828,9000
global,73,8.002359375,3.3666666666666663,303,9000
0,74,7.341081597222222,3.011111111111111,271,9000
0,74,4.573894097222222,4.033333333333333,363,9000
1,74,7.3603072916666665,3.4111111111111114,307,9000
1,74,5.052730902777777,3.1222222222222222,281,9000
2,74,7.275407986111111,4.633333333333333,417,9000
2,74,3.5978856336805554,30.944444444444446,2785,9000
3,74,7.2635842013888885,3.833333333333333,345,9000
3,74,4.958099392361111,11.077777777777778,997,9000
4,74,7.370969618055556,3.288888888888889,296,9000
4,74,5.372756076388889,1.8333333333333333,165,9000
5,74,7.369667534722222,3.3222222222222224,299,9000
5,74,5.584190972222222,7.177777777777777,646,9000
6,74,6.879085069444445,3.5111111111111115,316,9000
6,74,3.953170138888889,6.444444444444445,580,9000
7,74,7.676640625,3.6222222222222227,326,9000
7,74,6.158529079861111,6.455555555555556,581,9000
8,74,6.82515625,4.844444444444444,436,9000
8,74,2.7703057725694444,25.244444444444447,2272,9000
9,74,6.644953125,4.711111111111111,424,9000
9,74,2.2376575520833333,38.56666666666666,3471,9000
10,74,7.197391493055555,5.088888888888889,458,9000
10,74,4.23098046875,18.422222222222224,1658,9000
11,74,7.178141493055556,3.888888888888889,350,9000
11,74,4.22115625,11.733333333333333,1056,9000
12,74,7.084951388888889,4.588888888888889,413,9000
12,74,3.6721731770833332,11.988888888888889,1079,9000
13,74,7.3196831597222225,4.111111111111112,370,9000
13,74,4.683588107638889,9.066666666666666,816,9000
14,74,7.192328559027778,3.6666666666666665,330,9000
14,74,4.404344184027778,6.466666666666667,582,9000
15,74,7.3534453125,4.311111111111112,388,9000
15,74,4.626313802083334,12.11111111111111,1090,9000
16,74,7.201041666666667,4.377777777777777,394,9000
16,74,4.297061631944445,13.455555555555557,1211,9000
17,74,7.1185008680555555,4.377777777777777,394,9000
17,74,3.6560034722222223,15.277777777777779,1375,9000
18,74,7.325585069444444,4.122222222222223,371,9000
18,74,5.05460546875,9.977777777777778,898,9000
19,74,7.2351527777777775,4.044444444444444,364,9000
19,74,4.325777777777778,8.266666666666666,744,9000
global,74,8.045746527777778,3.4000000000000004,306,9000
0,75,7.308465277777778,3.0444444444444443,274,9000
0,75,4.267239583333334,7.6,684,9000
1,75,7.356802951388889,3.3111111111111113,298,9000
1,75,4.964108506944444,2.511111111111111,226,9000
2,75,7.0362734375,4.644444444444444,418,9000
2,75,2.520901692708333,43.333333333333336,3900,9000
