local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
0,1401,71,1,0.15574203431606293,52.0,312,600
0,1402,71,2,0.10414445400238037,61.16666666666667,367,600
0,1403,71,3,0.08270004391670227,70.83333333333334,425,600
0,1404,71,4,0.06284376233816147,77.5,465,600
0,1405,71,5,0.04667166993021965,81.0,486,600
0,1406,71,6,0.0384700708091259,85.33333333333334,512,600
0,1407,71,7,0.03466516733169556,84.66666666666667,508,600
0,1408,71,8,0.03352484107017517,87.33333333333333,524,600
0,1409,71,9,0.02934488095343113,90.16666666666666,541,600
0,1410,71,10,0.030693020671606064,88.5,531,600
0,1411,71,11,0.026063337922096252,90.0,540,600
0,1412,71,12,0.026184402406215668,90.0,540,600
0,1413,71,13,0.024806715548038483,89.5,537,600
0,1414,71,14,0.024580631405115128,89.16666666666667,535,600
0,1415,71,15,0.025300856679677963,88.66666666666667,532,600
0,1416,71,16,0.026089726015925407,88.33333333333333,530,600
0,1417,71,17,0.019685784354805946,94.16666666666667,565,600
0,1418,71,18,0.019870001822710037,93.0,558,600
0,1419,71,19,0.01924923248589039,93.0,558,600
0,1420,71,20,0.01751849800348282,94.5,567,600
1,1401,71,1,0.12780000269412994,58.333333333333336,350,600
1,1402,71,2,0.0789988711476326,73.83333333333333,443,600
1,1403,71,3,0.06131114438176155,78.33333333333333,470,600
1,1404,71,4,0.05953642725944519,79.5,477,600
1,1405,71,5,0.041083868592977524,85.66666666666667,514,600
1,1406,71,6,0.03810755908489227,87.16666666666667,523,600
1,1407,71,7,0.032891128212213516,87.83333333333333,527,600
1,1408,71,8,0.028948120772838593,90.5,543,600
1,1409,71,9,0.02894706092774868,88.5,531,600
1,1410,71,10,0.025664955377578735,91.5,549,600
1,1411,71,11,0.025126829743385315,91.5,549,600
1,1412,71,12,0.024345943704247475,90.5,543,600
1,1413,71,13,0.022037498652935028,91.83333333333333,551,600
1,1414,71,14,0.01959061250090599,92.33333333333333,554,600
1,1415,71,15,0.01984337344765663,92.16666666666666,553,600
1,1416,71,16,0.019917525351047516,92.33333333333333,554,600
1,1417,71,17,0.019378334283828735,92.83333333333333,557,600
1,1418,71,18,0.019299212843179703,93.83333333333333,563,600
1,1419,71,19,0.01643676683306694,94.16666666666667,565,600
1,1420,71,20,0.017591780051589012,93.66666666666667,562,600
2,1401,71,1,0.1314878761768341,57.49999999999999,345,600
2,1402,71,2,0.06305237859487534,78.66666666666666,472,600
2,1403,71,3,0.06060033291578293,79.33333333333333,476,600
2,1404,71,4,0.0520658902823925,82.16666666666667,493,600
2,1405,71,5,0.04203937575221062,84.83333333333334,509,600
2,1406,71,6,0.030698450282216072,88.83333333333333,533,600
2,1407,71,7,0.027795588597655296,90.66666666666666,544,600
2,1408,71,8,0.024805495515465736,90.83333333333333,545,600
2,1409,71,9,0.022327639162540436,91.83333333333333,551,600
2,1410,71,10,0.021038508042693138,91.16666666666666,547,600
2,1411,71,11,0.018685782328248024,93.16666666666666,559,600
2,1412,71,12,0.019293176010251045,92.33333333333333,554,600
2,1413,71,13,0.0170123353600502,93.0,558,600
2,1414,71,14,0.014044983312487602,94.83333333333334,569,600
2,1415,71,15,0.014873231761157513,94.66666666666667,568,600
2,1416,71,16,0.012824422679841518,95.5,573,600
2,1417,71,17,0.014057302847504616,94.16666666666667,565,600
2,1418,71,18,0.010089713148772717,97.16666666666667,583,600
2,1419,71,19,0.008713426999747753,97.33333333333334,584,600
2,1420,71,20,0.008712045848369598,97.0,582,600
3,1401,71,1,0.12012099474668503,64.33333333333333,386,600
3,1402,71,2,0.07032978534698486,74.66666666666667,448,600
3,1403,71,3,0.06902160495519638,75.83333333333333,455,600
3,1404,71,4,0.06359944492578506,77.5,465,600
3,1405,71,5,0.04006895050406456,84.83333333333334,509,600
3,1406,71,6,0.037124913185834885,85.83333333333333,515,600
3,1407,71,7,0.03300915285944939,88.83333333333333,533,600
