model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
0,0_trigger,,71,0.034603174163251725,99.97777777777777,8998,9000
1,1_trigger,,71,1.6074338118384282,99.52222222222223,8957,9000
2,2_trigger,,71,0.29233049858940974,99.95555555555555,8996,9000
3,3_trigger,,71,15.919735686159205,96.1,8649,9000
4,4_trigger,,71,0.0,100.0,9000,9000
5,5_trigger,,71,6.926866738213433,99.14444444444445,8923,9000
6,6_trigger,,71,1.8591138526068793,99.8,8982,9000
7,7_trigger,,71,4.398394912066907,99.22222222222223,8930,9000
8,8_trigger,,71,1.7754572982655341,99.75555555555556,8978,9000
9,9_trigger,,71,5.1470852124691,99.11111111111111,8920,9000
10,10_trigger,,71,0.8123248969184028,99.86666666666667,8988,9000
11,11_trigger,,71,0.8210157269018008,99.58888888888889,8963,9000
12,12_trigger,,71,0.9559554985894098,99.9,8991,9000
13,13_trigger,,71,3.013448988172743,99.6888888888889,8972,9000
14,14_trigger,,71,1.6384992837717547,99.73333333333333,8976,9000
15,15_trigger,,71,0.3094550275802612,99.87777777777778,8989,9000
16,16_trigger,,71,0.21291090901692708,99.97777777777777,8998,9000
17,17_trigger,,71,1.1288363408512538,99.73333333333333,8976,9000
18,18_trigger,,71,0.5965453535765927,99.91111111111111,8992,9000
19,19_trigger,,71,0.6128294028908713,99.78888888888889,8981,9000
global,combine,,71,1.2014273155530293,60.988888888888894,5489,9000
global,global_in_0_trigger,,71,1.0409838783476089,96.07777777777777,8647,9000
global,global_in_1_trigger,,71,1.311390794859992,66.78888888888889,6011,9000
global,global_in_2_trigger,,71,0.5897427962091234,96.1888888888889,8657,9000
global,global_in_3_trigger,,71,1.2014273202684191,60.988888888888894,5489,9000
global,global_in_4_trigger,,71,1.0409838800430298,96.07777777777777,8647,9000
global,global_in_5_trigger,,71,1.3113907936943903,66.78888888888889,6011,9000
global,global_in_6_trigger,,71,0.5897427961031596,96.1888888888889,8657,9000
global,global_in_7_trigger,,71,1.2014273189438713,60.988888888888894,5489,9000
global,global_in_8_trigger,,71,1.0409838785595364,96.07777777777777,8647,9000
global,global_in_9_trigger,,71,1.3113907962375217,66.78888888888889,6011,9000
global,global_in_10_trigger,,71,0.5897427947786119,96.1888888888889,8657,9000
global,global_in_11_trigger,,71,1.201427318572998,60.988888888888894,5489,9000
global,global_in_12_trigger,,71,1.0409838806788128,96.07777777777777,8647,9000
global,global_in_13_trigger,,71,1.311390798356798,66.78888888888889,6011,9000
global,global_in_14_trigger,,71,0.5897427958912319,96.1888888888889,8657,9000
global,global_in_15_trigger,,71,1.2014273194207086,60.988888888888894,5489,9000
global,global_in_16_trigger,,71,1.040983878877428,96.07777777777777,8647,9000
global,global_in_17_trigger,,71,1.3113907929526436,66.78888888888889,6011,9000
global,global_in_18_trigger,,71,0.589742796421051,96.1888888888889,8657,9000
global,global_in_19_trigger,,71,1.2014273188908895,60.988888888888894,5489,9000
0,0_trigger,,72,10.991291061391093,97.22222222222221,8750,9000
1,1_trigger,,72,1134.067409016927,35.13333333333333,3162,9000
2,2_trigger,,72,344.01894029574925,49.37777777777777,4444,9000
3,3_trigger,,72,59.78850083244007,94.84444444444445,8536,9000
4,4_trigger,,72,1456.6697420247397,13.922222222222222,1253,9000
5,5_trigger,,72,1343.0502204318577,45.06666666666666,4056,9000
6,6_trigger,,72,1.4733101187735669,99.62222222222222,8966,9000
7,7_trigger,,72,264.03919976149666,75.04444444444445,6754,9000
8,8_trigger,,72,4.587712326565969,98.05555555555556,8825,9000
9,9_trigger,,72,6.257014005886174,98.96666666666667,8907,9000
10,10_trigger,,72,1440.5016195203993,15.177777777777779,1366,9000
11,11_trigger,,72,731.1144520433214,41.099999999999994,3699,9000
12,12_trigger,,72,2.2849610731336805,99.71111111111111,8974,9000
13,13_trigger,,72,171.76603186545103,91.56666666666666,8241,9000
14,14_trigger,,72,589.1801189299689,56.74444444444444,5107,9000
15,15_trigger,,72,1897.1466310221354,17.555555555555554,1580,9000
16,16_trigger,,72,1298.1353004286025,22.655555555555555,2039,9000
17,17_trigger,,72,902.1136470879449,54.05555555555556,4865,9000
18,18_trigger,,72,1377.3950075005425,27.544444444444444,2479,9000
19,19_trigger,,72,659.8908085801867,58.611111111111114,5275,9000
global,combine,,72,5.290453942510816,30.544444444444448,2749,9000
global,global_in_0_trigger,,72,10.593430456585354,19.177777777777777,1726,9000
global,global_in_1_trigger,,72,10.450348351584541,13.4,1206,9000
global,global_in_2_trigger,,72,4.911854081183672,53.300000000000004,4797,9000
global,global_in_3_trigger,,72,5.290453946537442,30.544444444444448,2749,9000
global,global_in_4_trigger,,72,10.593430392583212,19.177777777777777,1726,9000
global,global_in_5_trigger,,72,10.450348382208082,13.4,1206,9000
global,global_in_6_trigger,,72,4.911854082680411,53.300000000000004,4797,9000
global,global_in_7_trigger,,72,5.290453938060336,30.544444444444448,2749,9000
global,global_in_8_trigger,,72,10.593430440478855,19.177777777777777,1726,9000
global,global_in_9_trigger,,72,10.450348336961534,13.4,1206,9000
global,global_in_10_trigger,,72,4.911854077850779,53.300000000000004,4797,9000
global,global_in_11_trigger,,72,5.290453967677222,30.544444444444448,2749,9000
global,global_in_12_trigger,,72,10.593430443551805,19.177777777777777,1726,9000
global,global_in_13_trigger,,72,10.450348357942369,13.4,1206,9000
global,global_in_14_trigger,,72,4.911854082445304,53.300000000000004,4797,9000
global,global_in_15_trigger,,72,5.290453956921895,30.544444444444448,2749,9000
global,global_in_16_trigger,,72,10.593430414835613,19.177777777777777,1726,9000
global,global_in_17_trigger,,72,10.450348367055257,13.4,1206,9000
global,global_in_18_trigger,,72,4.911854076916973,53.300000000000004,4797,9000
global,global_in_19_trigger,,72,5.290453946007623,30.544444444444448,2749,9000
0,0_trigger,,73,880.586795952691,0.0,0,9000
1,1_trigger,,73,812.3114412841796,31.122222222222224,2801,9000
2,2_trigger,,73,224.1907622816298,15.8,1422,9000
3,3_trigger,,73,121.39523760986329,31.711111111111112,2854,9000
4,4_trigger,,73,1207.854349609375,0.011111111111111112,1,9000
5,5_trigger,,73,136.37259466284016,64.66666666666666,5820,9000
6,6_trigger,,73,54.91497211390072,55.14444444444444,4963,9000
7,7_trigger,,73,0.0,100.0,9000,9000
8,8_trigger,,73,986.8082380099827,0.0,0,9000
9,9_trigger,,73,124.16447031407897,73.4888888888889,6614,9000
