model,epoch,average_loss,accuracy,correct_data,total_data
0,71,6.891486205630832,9.144444444444444,823,9000
0,71,2357.1186431206597,0.8777777777777779,79,9000
1,71,0.22801400085653808,92.36666666666666,8313,9000
1,71,19.93342274415326,95.31111111111112,8578,9000
2,71,8.296587190839979,6.811111111111111,613,9000
2,71,1120.4905298665365,7.155555555555555,644,9000
3,71,0.03353469421568564,98.62222222222222,8876,9000
3,71,15.919735687931766,96.1,8649,9000
4,71,11.333270462459987,2.411111111111111,217,9000
4,71,2079.264639485677,13.8,1242,9000
5,71,0.3096774471664699,91.96666666666667,8277,9000
5,71,126.7896810697658,89.55555555555556,8060,9000
6,71,9.27437305577596,3.2333333333333334,291,9000
6,71,3132.8870151909723,5.411111111111111,487,9000
7,71,0.033687086829988375,98.81111111111112,8893,9000
7,71,4.398394905285223,99.22222222222223,8930,9000
8,71,8.73122030682034,4.9,441,9000
8,71,2566.7360364583333,8.233333333333333,741,9000
9,71,0.32411399372014954,89.63333333333333,8067,9000
9,71,70.45206096204582,90.78888888888889,8171,9000
10,71,9.04253329340617,7.211111111111111,649,9000
10,71,3311.622123969184,13.977777777777778,1258,9000
11,71,0.03300710278282234,98.87777777777778,8899,9000
11,71,0.8210157265309275,99.58888888888889,8963,9000
12,71,7.9368651909298364,8.155555555555557,734,9000
12,71,1695.4538600260416,16.62222222222222,1496,9000
13,71,0.14054537955543853,95.74444444444444,8617,9000
13,71,23.824388606389363,97.21111111111111,8749,9000
14,71,9.643407878875733,1.7555555555555558,158,9000
14,71,2378.5999755859375,8.188888888888888,737,9000
15,71,0.04336856663861966,98.32222222222222,8849,9000
15,71,0.3094550275802612,99.87777777777778,8989,9000
16,71,7.773090110990736,9.933333333333334,894,9000
16,71,1351.0083475341796,26.677777777777777,2401,9000
17,71,0.2614997985846977,92.44444444444444,8320,9000
17,71,29.199916242811053,95.58888888888889,8603,9000
18,71,9.098988565233018,4.022222222222222,362,9000
18,71,3213.2921848958335,0.41111111111111115,37,9000
19,71,0.024303106473369054,99.02222222222223,8912,9000
19,71,0.6128294028908713,99.78888888888889,8981,9000
global,71,1.2014273155530293,60.988888888888894,5489,9000
0,72,5.805712469736735,11.344444444444445,1021,9000
0,72,1929.0644898546007,0.9777777777777777,88,9000
1,72,0.4718282661854168,89.46666666666667,8052,9000
1,72,1371.8060407172309,26.77777777777778,2410,9000
2,72,5.682610676447551,9.555555555555555,860,9000
2,72,1042.7676488172742,4.0,360,9000
3,72,0.04378450082257302,98.42222222222222,8858,9000
3,72,59.7885007343061,94.84444444444445,8536,9000
4,72,9.074368643230862,6.277777777777778,565,9000
4,72,3582.586108723958,0.0,0,9000
5,72,0.38873131491938784,89.5,8055,9000
5,72,1728.4021908637153,29.855555555555558,2687,9000
6,72,4.323465989854601,12.533333333333333,1128,9000
6,72,2886.702314453125,0.24444444444444444,22,9000
7,72,0.03618447053977508,98.66666666666667,8880,9000
7,72,264.0391989232824,75.04444444444445,6754,9000
8,72,6.165689579645792,11.899999999999999,1071,9000
8,72,1507.1822126193576,13.655555555555557,1229,9000
9,72,0.24238645286195337,93.4888888888889,8414,9000
9,72,99.29946822137417,89.54444444444445,8059,9000
10,72,5.4257257332272,9.288888888888888,836,9000
10,72,2993.8951453993054,0.03333333333333333,3,9000
11,72,0.03651438388135303,98.74444444444444,8887,9000
11,72,731.1144523790148,41.099999999999994,3699,9000
12,72,6.642826602723863,13.588888888888889,1223,9000
12,72,4051.990324652778,0.5333333333333333,48,9000
13,72,0.24786917047665247,92.14444444444445,8293,9000
13,72,114.60355585285458,92.78888888888889,8351,9000
14,72,8.449526079601712,2.588888888888889,233,9000
14,72,2043.679729437934,17.322222222222223,1559,9000
15,72,0.026806180725407577,99.01111111111112,8911,9000
15,72,1897.1466271701388,17.555555555555554,1580,9000
16,72,6.53448998090956,6.7444444444444445,607,9000
16,72,3362.978091796875,0.0,0,9000
17,72,0.32616872615920217,90.56666666666666,8151,9000
17,72,1158.791668762207,42.56666666666667,3831,9000
18,72,9.459698411729601,4.1000000000000005,369,9000
18,72,4333.251214409722,0.0,0,9000
19,72,0.03875599709354606,98.42222222222222,8858,9000
19,72,659.8908085734049,58.611111111111114,5275,9000
global,72,5.290453942510816,30.544444444444448,2749,9000
0,73,3.428148985889223,48.8,4392,9000
