model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
0,0_trigger,,71,6.484138129340278,3.022222222222222,272,9000
1,1_trigger,,71,5.6819377712673615,7.033333333333333,633,9000
2,2_trigger,,71,5.555752007378472,15.266666666666667,1374,9000
3,3_trigger,,71,5.133757215711806,11.177777777777779,1006,9000
4,4_trigger,,71,6.296104058159722,4.011111111111111,361,9000
5,5_trigger,,71,6.490513888888889,6.766666666666667,609,9000
6,6_trigger,,71,5.858185275607639,8.033333333333333,723,9000
7,7_trigger,,71,5.571216091579861,7.811111111111112,703,9000
8,8_trigger,,71,4.923584092881945,13.133333333333333,1182,9000
9,9_trigger,,71,4.5790190700954865,16.644444444444446,1498,9000
10,10_trigger,,71,5.245174967447917,15.233333333333333,1371,9000
11,11_trigger,,71,5.200624891493056,10.644444444444444,958,9000
12,12_trigger,,71,5.454445366753472,12.455555555555556,1121,9000
13,13_trigger,,71,6.314905707465278,12.055555555555555,1085,9000
14,14_trigger,,71,6.329795844184027,6.322222222222222,569,9000
15,15_trigger,,71,5.472548122829861,12.433333333333334,1119,9000
16,16_trigger,,71,5.895745551215278,10.477777777777778,943,9000
17,17_trigger,,71,6.441537434895833,14.411111111111111,1297,9000
18,18_trigger,,71,5.291356499565972,8.511111111111111,766,9000
19,19_trigger,,71,5.295907389322917,10.888888888888888,980,9000
global,combine,,71,7.774973795572917,3.4777777777777774,313,9000
global,global_in_0_trigger,,71,8.061652994791666,2.6222222222222222,236,9000
global,global_in_1_trigger,,71,7.920805501302083,3.844444444444445,346,9000
global,global_in_2_trigger,,71,8.075219997829862,2.477777777777778,223,9000
global,global_in_3_trigger,,71,7.774974609375,3.4777777777777774,313,9000
global,global_in_4_trigger,,71,8.061652452256945,2.6222222222222222,236,9000
global,global_in_5_trigger,,71,7.9208052300347225,3.844444444444445,346,9000
global,global_in_6_trigger,,71,8.075218587239583,2.477777777777778,223,9000
global,global_in_7_trigger,,71,7.774974826388889,3.4777777777777774,313,9000
global,global_in_8_trigger,,71,8.061652940538194,2.6222222222222222,236,9000
global,global_in_9_trigger,,71,7.920805338541666,3.844444444444445,346,9000
global,global_in_10_trigger,,71,8.07522021484375,2.477777777777778,223,9000
global,global_in_11_trigger,,71,7.774973253038194,3.4777777777777774,313,9000
global,global_in_12_trigger,,71,8.061653374565973,2.6222222222222222,236,9000
