local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
0,701,71,1,0.0007415416766889393,83.66666666666667,502,600
0,702,71,2,0.0007671633502468467,83.83333333333334,503,600
0,703,71,3,0.000678352836985141,84.16666666666667,505,600
0,704,71,4,0.0007815793505869806,83.83333333333334,503,600
0,705,71,5,0.0007162126712501049,84.33333333333334,506,600
0,706,71,6,0.0007529410650022328,84.66666666666667,508,600
0,707,71,7,0.000732865824829787,84.5,507,600
0,708,71,8,0.0007646859157830477,84.5,507,600
0,709,71,9,0.0007297295378521085,85.0,510,600
0,710,71,10,0.0007268987246789038,84.66666666666667,508,600
1,701,71,1,0.0007224094006232917,85.66666666666667,514,600
1,702,71,2,0.0007905163802206516,85.33333333333334,512,600
1,703,71,3,0.0006901011802256107,86.0,516,600
1,704,71,4,0.0006906281341798604,86.5,519,600
1,705,71,5,0.0006965798093006015,86.5,519,600
1,706,71,6,0.0007488916744478047,86.5,519,600
1,707,71,7,0.0007056319736875594,86.66666666666667,520,600
1,708,71,8,0.0006626558606512845,86.66666666666667,520,600
1,709,71,9,0.0006849317578598857,86.66666666666667,520,600
1,710,71,10,0.0006933167460374534,86.83333333333333,521,600
2,701,71,1,0.0007046067039482296,87.0,522,600
2,702,71,2,0.0006207343540154397,87.83333333333333,527,600
2,703,71,3,0.000589526433032006,89.0,534,600
2,704,71,4,0.000599342689383775,88.66666666666667,532,600
2,705,71,5,0.0006406250759027898,88.66666666666667,532,600
2,706,71,6,0.0006516887806355953,88.66666666666667,532,600
2,707,71,7,0.000602669664658606,89.16666666666667,535,600
2,708,71,8,0.0006469393847510219,88.83333333333333,533,600
2,709,71,9,0.0005664079799316823,89.5,537,600
2,710,71,10,0.0006313353078439832,89.33333333333333,536,600
3,701,71,1,0.0007238571415655315,87.66666666666667,526,600
3,702,71,2,0.0006620981148444116,88.16666666666667,529,600
3,703,71,3,0.0006441630539484322,88.66666666666667,532,600
3,704,71,4,0.0005869772867299616,89.0,534,600
3,705,71,5,0.0006767410086467862,88.66666666666667,532,600
3,706,71,6,0.0007148682489059865,88.83333333333333,533,600
3,707,71,7,0.00065880041802302,89.0,534,600
3,708,71,8,0.0006033388199284673,89.16666666666667,535,600
3,709,71,9,0.0006300041568465531,89.33333333333333,536,600
3,710,71,10,0.0007277255062945187,88.83333333333333,533,600
4,701,71,1,0.0007367428042925894,86.16666666666667,517,600
4,702,71,2,0.0007480148924514651,86.16666666666667,517,600
4,703,71,3,0.0006801560521125793,86.33333333333333,518,600
4,704,71,4,0.0006984869251027703,86.16666666666667,517,600
4,705,71,5,0.0007056418107822537,86.16666666666667,517,600
4,706,71,6,0.0006776956142857671,86.66666666666667,520,600
