model,epoch,average_loss,accuracy,correct_data,total_data
0,71,7.422007921006944,2.9555555555555557,266,9000
0,71,6.113856879340278,3.888888888888889,350,9000
1,71,7.284820529513889,3.344444444444444,301,9000
1,71,5.524984483506945,6.344444444444444,571,9000
2,71,7.311654134114583,4.322222222222223,389,9000
2,71,5.222013075086806,17.299999999999997,1557,9000
3,71,7.225612955729167,3.6999999999999997,333,9000
3,71,5.1337574869791665,11.177777777777779,1006,9000
4,71,7.359747612847222,3.155555555555556,284,9000
4,71,5.9749462890625,4.833333333333333,435,9000
5,71,7.4496825629340275,3.2222222222222223,290,9000
5,71,6.3310107421875,6.4,576,9000
6,71,7.264988444010417,3.6999999999999997,333,9000
6,71,5.543504448784722,9.9,891,9000
7,71,7.328707736545139,3.355555555555555,302,9000
7,71,5.571215874565972,7.811111111111112,703,9000
8,71,7.109349772135417,4.233333333333333,381,9000
8,71,4.6437122395833335,15.055555555555555,1355,9000
9,71,7.051226019965278,4.3,387,9000
9,71,4.420239447699653,16.48888888888889,1484,9000
10,71,7.13608984375,4.811111111111111,433,9000
10,71,4.9665903862847225,16.644444444444446,1498,9000
11,71,7.250573621961806,3.888888888888889,350,9000
11,71,5.200624891493056,10.644444444444444,958,9000
12,71,7.204344563802083,4.2444444444444445,382,9000
12,71,5.179604546440972,13.588888888888889,1223,9000
13,71,7.484619791666667,3.9555555555555553,356,9000
13,71,6.110210557725694,11.633333333333333,1047,9000
14,71,7.3762089301215275,3.5222222222222226,317,9000
14,71,5.996870551215277,8.0,720,9000
15,71,7.313888780381944,4.055555555555555,365,9000
15,71,5.4725478515625,12.433333333333334,1119,9000
16,71,7.290770887586805,4.0888888888888895,368,9000
16,71,5.645639919704861,11.644444444444444,1048,9000
17,71,7.4590126953125,4.133333333333333,372,9000
17,71,6.268013563368055,13.755555555555555,1238,9000
18,71,7.187485568576389,3.6777777777777776,331,9000
18,71,4.9729108344184025,11.466666666666667,1032,9000
19,71,7.24952734375,3.844444444444445,346,9000
19,71,5.295907823350695,10.888888888888888,980,9000
global,71,7.774973795572917,3.4777777777777774,313,9000
0,72,7.485915201822917,2.9555555555555557,266,9000
0,72,6.291252712673611,1.7888888888888888,161,9000
1,72,7.5666781684027775,3.4333333333333336,309,9000
1,72,6.724162489149306,2.922222222222222,263,9000
2,72,7.459924479166666,4.5,405,9000
2,72,5.621198513454861,13.211111111111112,1189,9000
3,72,7.2915827907986115,3.811111111111111,343,9000
3,72,5.3472331271701385,5.988888888888889,539,9000
4,72,7.447574815538195,3.2111111111111112,289,9000
4,72,6.2089829644097225,2.2333333333333334,201,9000
