model,epoch,average_loss,accuracy,correct_data,total_data
0,71,6.891486205630832,9.144444444444444,823,9000
0,71,2357.1186431206597,0.8777777777777779,79,9000
1,71,0.22801400085653808,92.36666666666666,8313,9000
1,71,19.93342274415326,95.31111111111112,8578,9000
2,71,8.296587190839979,6.811111111111111,613,9000
2,71,1120.4905298665365,7.155555555555555,644,9000
3,71,0.03353469421568564,98.62222222222222,8876,9000
3,71,15.919735687931766,96.1,8649,9000
4,71,11.333270462459987,2.411111111111111,217,9000
4,71,2079.264639485677,13.8,1242,9000
5,71,0.3096774471664699,91.96666666666667,8277,9000
5,71,126.7896810697658,89.55555555555556,8060,9000
6,71,9.27437305577596,3.2333333333333334,291,9000
6,71,3132.8870151909723,5.411111111111111,487,9000
7,71,0.033687086829988375,98.81111111111112,8893,9000
7,71,4.398394905285223,99.22222222222223,8930,9000
8,71,8.73122030682034,4.9,441,9000
8,71,2566.7360364583333,8.233333333333333,741,9000
9,71,0.32411399372014954,89.63333333333333,8067,9000
9,71,70.45206096204582,90.78888888888889,8171,9000
10,71,9.04253329340617,7.211111111111111,649,9000
10,71,3311.622123969184,13.977777777777778,1258,9000
11,71,0.03300710278282234,98.87777777777778,8899,9000
11,71,0.8210157265309275,99.58888888888889,8963,9000
12,71,7.9368651909298364,8.155555555555557,734,9000
12,71,1695.4538600260416,16.62222222222222,1496,9000
13,71,0.14054537955543853,95.74444444444444,8617,9000
13,71,23.824388606389363,97.21111111111111,8749,9000
14,71,9.643407878875733,1.7555555555555558,158,9000
14,71,2378.5999755859375,8.188888888888888,737,9000
15,71,0.04336856663861966,98.32222222222222,8849,9000
15,71,0.3094550275802612,99.87777777777778,8989,9000
16,71,7.773090110990736,9.933333333333334,894,9000
16,71,1351.0083475341796,26.677777777777777,2401,9000
17,71,0.2614997985846977,92.44444444444444,8320,9000
17,71,29.199916242811053,95.58888888888889,8603,9000
18,71,9.098988565233018,4.022222222222222,362,9000
18,71,3213.2921848958335,0.41111111111111115,37,9000
19,71,0.024303106473369054,99.02222222222223,8912,9000
19,71,0.6128294028908713,99.78888888888889,8981,9000
global,71,7.802317371368408,3.1333333333333333,282,9000
0,72,7.428635982513428,2.6333333333333333,237,9000
0,72,1041.5425203721788,18.58888888888889,1673,9000
1,72,0.3120408028093456,90.35555555555555,8132,9000
1,72,89.60076594661224,90.48888888888888,8144,9000
2,72,6.780550176196628,11.333333333333332,1020,9000
2,72,988.9157985297309,14.555555555555555,1310,9000
3,72,0.04037325368785598,98.63333333333333,8877,9000
3,72,9.125469727913506,98.0,8820,9000
4,72,7.899844379213121,5.344444444444445,481,9000
4,72,1159.2401267903647,1.577777777777778,142,9000
5,72,0.22225409305500146,94.18888888888888,8477,9000
5,72,15.482744494717135,96.66666666666667,8700,9000
6,72,12.766679352654352,2.6333333333333333,237,9000
6,72,3958.9448900824655,5.7444444444444445,517,9000
7,72,0.03976151789094892,98.46666666666667,8862,9000
7,72,0.6490049330786803,99.76666666666667,8979,9000
8,72,9.024966099633112,7.5,675,9000
8,72,1218.2630148654514,5.233333333333333,471,9000
9,72,0.3651336684503195,91.27777777777779,8215,9000
9,72,91.8193183873289,92.14444444444445,8293,9000
10,72,5.456081006579929,3.8,342,9000
10,72,1488.7407542317708,5.177777777777778,466,9000
11,72,0.04488954912772251,98.24444444444444,8842,9000
11,72,30.69844546186364,94.42222222222222,8498,9000
12,72,2.8652939410739475,17.744444444444444,1597,9000
12,72,181.42508292929332,52.31111111111111,4708,9000
13,72,0.196067520279942,93.85555555555555,8447,9000
13,72,34.90237999725366,94.05555555555556,8465,9000
14,72,8.10548567920261,2.888888888888889,260,9000
14,72,1565.124087972005,13.877777777777778,1249,9000
15,72,0.019819249162186685,99.34444444444445,8941,9000
15,72,4.130872602634899,98.7,8883,9000
16,72,6.115071760813395,15.2,1368,9000
16,72,1648.966237250434,9.355555555555556,842,9000
17,72,0.1873976447308226,93.62222222222222,8426,9000
17,72,23.096665616889794,97.78888888888889,8801,9000
18,72,10.00525991015964,3.266666666666666,294,9000
18,72,2087.0207342122394,2.988888888888889,269,9000
19,72,0.024932646901138094,99.12222222222222,8921,9000
19,72,0.10756247957547506,99.92222222222222,8993,9000
global,72,8.496650445302327,3.4888888888888885,314,9000
0,73,0.6098437845442031,73.62222222222222,6626,9000
